#Word	VAL_M	ARO_M	CON_M	IMA_M	AVA_M	FAM_M
drogadicto	1.70	7.05	5.14	5.55	5.68	4.85
duda	3.10	6.36	3.15	2.43	5.52	6.25
dudar	3.35	5.14	3.91	3.40	4.41	6.33
duelo	2.80	6.41	3.62	4.67	5.20	4.25
dureza	4.17	6.68	2.90	3.30	3.82	6.10
echar	2.83	5.91	2.77	3.50	5.32	6.14
edificio	5.00	4.09	5.52	6.77	6.23	6.68
editora	5.62	4.50	5.38	3.00	3.36	4.57
educadora	6.71	4.30	4.91	4.57	4.57	4.82
efectividad	7.00	4.05	3.20	1.95	3.92	5.70
efecto	5.36	4.65	2.30	1.95	3.00	4.95
egoísmo	2.27	6.90	3.33	2.36	4.55	5.77
ejecutivo	5.29	5.13	5.65	6.05	4.62	4.19
ejemplar	5.91	4.32	2.36	2.33	4.10	5.45
ejemplo	5.45	4.09	2.05	1.82	4.32	6.52
electricidad	5.36	5.30	4.30	4.15	3.64	6.13
elegante	7.95	4.40	4.35	4.95	5.39	6.27
elemento	5.09	4.25	1.55	1.86	3.64	5.83
eliminación	2.59	5.00	3.80	2.75	3.26	5.43
elogio	7.80	6.05	3.14	2.80	4.22	4.81
embajada	4.95	4.73	5.40	4.14	4.00	3.57
embarazada	7.68	5.95	6.76	6.73	6.29	6.10
embarazo	7.20	7.18	5.95	6.85	6.52	6.09
emoción	8.30	8.23	2.50	3.15	6.43	6.55
emperador	4.85	5.05	5.05	5.05	4.18	4.29
emperatriz	5.10	4.75	5.38	4.59	3.50	4.29
empresaria	5.57	4.48	4.18	4.48	4.43	5.35
empresario	5.29	4.80	4.73	4.71	4.62	5.38
enamorado	8.05	6.00	4.10	4.00	6.50	6.35
encaje	5.52	3.80	4.95	5.14	2.95	4.48
encuentro	7.25	5.86	2.65	3.65	5.43	6.35
enemigo	2.57	6.95	5.10	3.40	4.85	5.64
enérgico	6.90	6.18	4.57	4.17	5.14	5.00
enfadado	1.95	6.90	5.04	5.09	5.91	6.48
enfado	2.43	7.35	4.74	4.74	5.77	6.62
enfermedad	1.35	8.35	2.35	3.10	5.77	6.10
enfermero	5.50	5.60	6.00	6.57	6.18	6.25
enfurecido	2.50	7.24	5.26	4.52	4.77	5.19
engañar	1.48	7.64	4.05	2.67	5.00	6.23
enigma	5.27	6.68	2.95	2.65	3.35	4.24
enmienda	4.70	4.00	4.30	1.83	1.77	3.14
enredo	3.33	5.86	3.55	3.71	3.85	5.50
enterrador	1.60	6.40	5.81	5.41	4.68	3.95
entierro	1.35	7.27	6.15	5.95	6.20	5.71
entorno	5.95	5.25	2.90	2.64	4.88	6.20
entusiasmo	7.91	7.35	3.40	2.75	5.09	5.81
episodio	5.71	4.14	3.90	3.05	4.80	6.32
época	5.22	4.65	2.55	2.76	3.82	5.71
erección	6.90	7.41	6.27	6.57	5.96	6.20
erótico	7.48	7.14	5.35	5.43	5.77	6.09
escala	4.75	3.73	2.50	2.91	4.35	5.91
escalera	4.95	4.00	6.29	6.82	6.36	6.60
escaparate	5.86	3.83	4.91	6.67	5.14	6.00
escasez	2.04	6.35	3.55	3.76	3.82	5.55
escena	5.55	4.55	3.45	4.35	5.55	5.70
escenario	6.50	6.38	5.20	6.41	5.90	5.55
escéptico	4.23	4.55	4.00	1.77	2.55	3.91
escorpión	3.35	6.50	6.70	6.78	5.36	5.05
escote	5.71	4.87	5.68	6.52	4.62	6.23
escritora	6.04	3.52	5.68	5.14	5.00	6.09
escuela	6.15	4.90	5.52	6.65	6.32	6.67
escultora	6.39	4.17	5.27	4.14	3.52	4.73
esfuerzo	7.85	5.55	2.40	3.09	5.35	6.15
espanto	2.86	7.45	3.05	2.68	3.41	4.10
espantoso	2.55	6.35	3.83	3.61	5.59	5.24
esperanza	7.70	4.65	2.50	2.30	4.50	5.95
esqueleto	4.38	5.00	5.90	6.62	5.95	5.86
esquina	4.45	4.10	5.59	6.62	4.50	5.81
estado	5.17	4.86	2.35	1.95	3.45	5.55
estallido	3.35	7.45	5.25	3.95	4.73	4.09
estantería	5.00	3.65	5.73	6.81	5.00	6.00
estilista	6.20	4.55	5.38	5.25	4.95	4.55
estilo	6.35	3.82	2.50	3.30	3.96	6.00
estimulación	6.73	6.75	3.30	2.15	4.22	5.86
estímulo	6.09	6.55	3.40	2.50	4.70	5.95
estómago	4.73	4.27	5.95	5.87	5.23	6.57
estrecho	4.48	4.95	3.85	4.60	5.15	5.38
estuche	5.17	3.70	5.67	6.75	6.45	5.90
eternidad	6.70	4.55	2.68	1.90	3.91	4.75
ética	6.95	3.77	3.27	1.90	3.96	4.95
etiqueta	4.81	3.86	4.41	6.20	5.20	6.05
eufórico	7.68	7.20	4.91	4.74	5.55	5.30
evolución	7.09	5.59	2.59	2.73	4.41	5.61
exceso	3.88	6.90	3.09	3.15	4.45	6.00
excitado	7.62	7.82	4.17	4.78	5.95	6.00
exclusión	2.22	6.86	3.05	2.55	4.14	4.23
excursión	7.67	5.81	4.30	5.09	6.80	6.20
exhibición	5.82	6.15	3.80	3.85	4.17	5.55
exigencia	4.38	6.23	3.40	1.77	4.45	5.19
exilio	2.82	5.95	3.76	4.10	3.50	4.55
éxito	8.30	6.70	2.45	3.60	5.41	5.95
explosión	1.59	8.25	5.10	5.45	5.61	5.59
explotación	2.00	7.55	3.60	3.09	4.91	4.67
explotador	1.85	7.15	3.38	2.73	2.95	4.73
éxtasis	6.29	7.55	4.41	3.41	4.25	5.00
extinción	2.33	5.48	3.65	2.32	3.80	5.20
extrañeza	4.18	4.82	3.14	1.86	2.59	4.60
fábrica	4.14	4.50	6.09	6.27	5.23	5.95
facha	3.05	6.81	3.55	4.15	5.00	4.82
facilidad	6.65	4.20	2.45	2.45	3.59	6.25
facultad	5.71	5.68	4.38	5.81	6.15	6.45
falda	6.04	4.17	6.00	6.86	5.81	6.64
falso	2.71	6.14	3.25	2.50	3.75	6.19
famosa	5.60	6.00	4.33	4.90	5.82	5.95
fantasía	7.86	5.70	2.82	2.61	4.14	5.91
farmacéutica	5.75	4.04	5.95	6.48	5.81	5.86
faro	5.60	3.05	6.70	6.86	5.59	4.90
fascinación	7.33	6.95	3.00	2.26	4.15	4.75
fascinante	8.36	6.20	3.20	1.60	3.70	5.50
fatalidad	2.32	6.70	2.35	1.86	2.86	4.68
faz	4.91	3.45	3.10	2.17	2.32	3.35
fealdad	3.14	5.25	3.36	3.81	3.77	3.76
fecha	5.05	4.64	3.91	3.90	6.30	6.70
felicidad	8.83	5.30	2.85	4.00	5.95	6.75
feliz	8.55	5.55	5.00	5.39	6.41	6.77
figura	5.14	3.83	2.50	5.38	4.29	5.00
firma	5.45	3.95	5.48	6.27	5.65	6.05
flamenco	5.86	4.19	4.95	5.85	5.00	4.86
foco	4.86	4.86	4.86	6.00	5.00	4.85
follón	3.67	6.50	3.61	4.61	5.86	5.95
forastero	5.09	4.05	3.85	4.55	4.91	4.61
fortuna	7.09	5.70	2.62	4.40	4.55	4.90
fotógrafa	7.35	3.85	5.57	6.29	6.27	6.14
fotografía	6.50	3.85	5.76	6.30	6.14	6.50
fotógrafo	6.45	4.05	6.59	6.64	6.13	5.95
fracaso	1.61	7.75	3.27	2.48	4.23	5.76
fracción	4.67	3.35	3.15	4.00	3.55	4.14
fragilidad	3.05	4.60	3.40	3.30	4.73	5.85
frialdad	3.33	4.81	2.85	2.30	3.40	5.10
frustración	1.88	5.62	3.80	2.32	4.00	5.50
fruto	6.23	3.15	4.14	5.91	4.95	6.18
fuerte	7.50	6.19	3.73	4.96	5.40	6.71
fuerza	7.63	7.24	2.20	3.41	5.40	6.50
fugitivo	2.85	6.91	4.05	5.14	5.26	4.25
función	5.33	4.05	2.59	2.17	3.45	5.50
furgoneta	5.25	4.35	6.27	7.00	5.38	6.14
furia	3.05	7.09	3.76	3.62	4.64	5.19
fusil	2.59	6.86	6.40	6.30	4.45	5.15
fútbol	5.32	6.00	6.64	6.32	6.17	6.65
futuro	7.40	7.41	2.00	2.61	4.48	6.75
gabardina	5.00	3.30	6.32	6.52	4.00	4.73
galardón	7.75	6.00	4.27	3.14	3.14	4.33
ganado	6.29	4.14	4.65	6.00	5.25	4.50
ganadora	7.50	6.05	4.10	5.24	4.68	6.09
ganar	7.58	7.10	4.14	3.45	6.15	6.52
gangrena	2.40	6.36	5.39	4.26	2.68	3.70
garfio	4.29	4.87	6.00	6.43	3.38	4.04
garganta	4.55	3.95	6.35	6.14	5.09	6.40
garrote	3.15	6.30	5.05	4.32	3.05	3.20
gato	5.76	4.10	6.38	7.00	6.40	6.62
gemido	5.27	7.10	4.50	3.86	5.38	5.77
género	4.90	3.91	2.50	3.81	3.86	5.45
genialidad	8.27	5.70	3.20	2.30	4.04	4.86
genio	6.45	5.20	3.86	4.95	4.55	5.82
gente	6.48	5.41	3.10	6.60	6.20	6.85
gerente	4.73	5.20	5.24	3.50	2.95	4.48
gestión	4.64	4.50	3.50	2.48	3.73	5.25
gimnasio	5.50	6.10	6.20	6.87	5.75	6.77
gimnasta	6.04	4.96	5.59	5.90	5.24	4.82
giro	4.86	4.82	4.30	4.18	4.00	6.45
globo	6.17	3.60	5.77	6.48	6.50	5.57
gobernador	3.45	5.45	6.23	5.71	4.55	5.45
goce	7.10	6.77	3.09	2.77	4.55	4.65
golfista	5.10	4.00	5.48	5.95	4.68	5.30
golfo	4.19	4.70	4.29	4.15	3.45	4.09
gota	5.41	3.29	5.25	6.65	5.85	6.52
gozar	7.77	4.40	3.86	3.40	6.05	4.95
grado	5.39	4.27	3.10	1.91	4.18	5.62
graduada	7.07	6.61	4.36	5.52	4.95	5.95
granjero	5.50	2.95	5.95	6.38	5.19	4.76
grano	3.70	4.77	4.68	6.52	5.20	6.23
grave	2.70	6.82	3.78	3.39	5.18	5.82
grieta	3.00	4.85	6.14	6.85	3.88	4.75
guante	5.15	3.95	6.14	6.86	5.91	6.62
guardería	6.55	4.43	6.20	6.35	5.60	5.33
guardián	5.29	4.91	3.82	4.10	3.29	4.36
guerrero	3.65	6.23	5.70	5.45	4.26	5.55
guión	4.90	4.23	4.24	5.09	5.30	5.00
habilidad	7.26	4.85	3.40	2.65	4.45	6.45
habitación	5.63	3.52	5.76	6.71	6.65	6.91
hábito	5.32	4.00	2.82	3.25	4.27	5.50
hacha	3.91	6.05	6.50	6.55	4.36	5.05
hacienda	3.00	5.80	4.57	2.32	4.64	5.00
hada	6.27	4.20	4.68	5.59	4.50	4.33
hallazgo	6.14	6.70	3.70	2.70	3.00	4.77
hechicero	5.32	5.00	5.18	4.52	3.57	4.59
heno	4.91	3.91	5.55	3.86	1.64	3.41
herido	2.05	6.91	5.04	6.52	5.68	5.43
hermana	7.75	3.60	5.05	5.36	5.91	6.67
heroína	3.85	6.15	5.14	4.23	5.20	5.59
heroísmo	6.41	6.15	3.05	3.25	3.67	3.45
herramienta	5.25	4.40	3.29	5.64	5.09	5.67
hervir	4.52	4.45	5.50	4.86	5.86	6.05
hidalguía	4.90	3.60	4.17	1.57	1.64	1.85
hielo	5.05	4.30	6.50	6.50	5.86	6.64
hierro	4.81	4.77	5.86	5.91	4.82	5.86
hija	7.27	4.70	6.19	4.15	5.73	6.57
hijo	7.05	5.27	6.20	5.85	5.85	6.67
historia	5.95	4.32	2.64	2.14	5.18	6.38
hoguera	5.50	3.70	6.40	6.65	5.77	5.38
hoja	5.05	3.14	5.70	6.62	6.10	6.57
homenaje	7.00	4.50	3.24	3.91	4.14	4.57
homicidio	1.27	7.80	4.65	4.25	4.04	4.73
honradez	7.50	3.50	3.05	1.68	3.92	4.75
horca	2.82	6.39	5.86	5.57	3.33	2.90
hormigueo	5.18	6.70	4.40	3.71	4.79	4.70
hormiguero	4.79	4.81	6.40	5.82	4.45	4.76
hornear	6.09	3.95	5.20	4.24	5.50	4.43
horquilla	4.76	3.14	6.05	6.38	5.36	5.55
horror	2.45	7.20	2.70	3.55	3.86	5.73
hotel	6.82	3.38	6.60	6.76	6.35	6.25
huérfano	1.45	5.74	6.05	4.75	5.39	4.65
huerto	6.74	3.55	6.10	6.57	6.18	5.55
huevo	5.00	3.65	6.57	6.91	5.91	6.81
humanidad	6.67	5.14	3.20	3.38	4.40	5.60
humanismo	7.39	4.50	2.29	1.74	3.45	4.24
humildad	7.60	3.32	2.60	1.64	4.96	5.15
humillación	1.32	7.30	2.59	3.38	4.21	5.09
huracán	2.62	7.27	6.00	6.14	5.73	5.14
hurgar	3.73	4.60	3.59	4.25	3.79	3.95
idealismo	6.00	4.05	2.81	1.45	3.32	3.71
iglesia	4.19	3.67	5.50	6.64	6.09	5.43
ilusión	7.55	5.95	2.30	2.55	5.50	6.55
imagen	6.42	4.10	3.05	4.90	5.20	6.80
imán	5.19	4.10	6.24	6.30	4.41	5.20
impermeable	5.21	3.65	4.59	5.29	5.24	5.86
importación	4.86	4.19	4.17	3.00	3.86	4.33
impotencia	2.27	7.75	3.45	2.67	5.45	5.33
impresionado	5.95	6.10	4.83	3.96	5.27	5.91
impureza	3.46	5.10	3.27	2.50	2.50	3.76
incapacidad	1.88	6.24	3.36	2.55	4.60	5.24
incendio	1.35	7.86	6.32	6.15	5.83	5.86
incentivo	7.00	6.30	3.83	2.87	2.55	4.91
incomodidad	2.95	6.09	3.68	2.59	4.32	6.14
incremento	6.04	5.91	3.40	3.70	4.55	5.20
indecisión	2.95	6.40	3.45	2.76	4.41	5.65
indicio	4.86	5.05	2.40	2.24	2.59	4.33
indio	5.10	3.75	5.52	6.32	5.00	4.75
industria	4.35	4.80	3.73	6.40	5.09	5.67
infanta	4.25	5.00	5.48	5.64	4.50	5.23
inferioridad	2.15	6.23	2.50	2.80	3.70	5.10
infiel	2.00	7.14	5.52	3.74	5.91	5.62
infinito	5.91	4.70	2.41	2.36	2.95	5.67
inflación	3.42	4.33	3.20	1.86	2.85	3.40
información	5.88	5.00	2.40	2.27	5.10	6.55
informática	5.46	4.61	3.95	3.24	4.62	6.05
informe	3.92	5.75	3.48	5.20	4.14	6.55
ingrediente	5.74	2.82	2.43	4.14	6.05	5.95
ingresar	4.05	5.05	3.77	2.50	5.58	6.00
ingreso	5.05	5.40	3.65	2.86	5.50	6.05
inmensidad	6.59	4.40	1.95	2.76	3.50	4.90
innovación	7.38	6.52	3.45	3.05	3.80	5.00
inodoro	4.00	4.26	6.00	6.71	4.33	4.50
inseguridad	2.50	6.38	2.05	2.09	4.80	5.57
inseguro	3.00	5.65	4.00	2.60	3.85	5.70
insomnio	2.65	7.05	5.18	3.18	5.26	5.30
inspiración	6.95	4.75	3.40	2.30	3.75	6.35
instancia	4.45	4.90	2.57	2.13	1.77	4.05
instante	5.18	4.20	2.85	1.30	3.22	5.50
institución	4.57	4.23	2.64	3.70	4.27	4.90
instituto	5.95	5.30	6.35	6.50	6.27	6.45
insulto	2.64	7.90	3.82	3.00	5.59	6.14
intelectual	6.95	4.15	4.60	2.45	4.87	5.05
intensidad	6.87	6.14	3.55	2.20	4.05	5.65
interrupción	3.25	6.09	2.95	2.77	4.96	5.50
intruso	3.15	6.95	4.91	3.55	4.64	4.55
inundación	2.45	6.45	5.70	5.91	5.55	5.77
inválido	2.23	5.50	4.95	6.40	5.83	4.80
invasión	3.00	7.35	3.20	3.25	3.91	4.62
invernadero	5.46	3.38	6.09	6.85	4.50	4.35
investigadora	6.55	4.95	4.52	5.52	5.50	5.30
invitada	6.30	5.20	3.71	4.76	4.55	5.76
inyección	3.59	6.77	5.27	6.30	5.83	5.45
irritación	2.18	7.70	3.48	4.00	4.79	5.14
jabón	6.00	3.14	6.05	6.75	6.45	6.68
jarra	5.22	3.70	6.10	6.64	5.82	6.41
jefe	4.38	5.19	5.50	5.14	5.14	6.32
jerarquía	4.38	4.95	3.65	4.10	3.59	4.25
jeringa	3.05	6.27	6.38	6.80	5.83	5.00
jeringuilla	2.86	6.45	6.70	6.95	5.58	5.74
jersey	5.42	3.35	5.86	7.00	6.36	6.55
jornalera	4.42	4.95	5.38	2.45	3.55	3.15
joya	6.12	4.75	4.43	6.70	5.86	6.26
jubiloso	5.09	5.18	4.52	3.65	2.55	2.67
juez	4.30	5.55	6.38	6.55	5.09	5.43
jugo	5.30	3.86	4.40	4.90	3.90	4.40
juguete	6.69	3.65	3.62	6.10	6.09	6.41
laberinto	4.54	6.19	5.23	6.55	5.90	4.95
laboratorio	4.68	4.10	5.86	6.76	4.41	6.27
labrador	5.41	5.05	5.32	5.59	4.27	4.33
lado	5.30	3.50	3.40	4.50	4.30	6.60
ladrillo	4.65	3.65	6.73	6.73	5.68	5.60
ladrón	2.82	7.23	5.29	5.18	5.95	6.36
ladrona	2.30	6.50	5.14	5.40	5.18	5.36
lágrima	2.35	5.55	6.32	6.76	6.00	6.27
lamento	1.92	5.38	2.36	3.38	4.85	5.30
lámpara	5.00	3.80	6.40	6.81	6.50	6.48
lápiz	5.55	3.95	6.50	7.00	6.68	6.64
lata	5.00	3.95	6.20	6.41	5.73	6.20
latido	6.67	5.60	5.55	4.20	5.15	5.65
látigo	2.70	6.15	6.76	6.61	4.77	4.64
leche	5.95	3.41	6.27	6.91	6.40	6.82
lechera	5.75	3.52	5.41	4.57	4.14	3.33
lechero	5.50	3.26	5.50	4.48	3.86	4.00
legalidad	6.60	4.00	3.68	2.67	3.91	5.29
lejos	2.77	4.10	5.20	4.05	4.65	6.30
lentilla	5.50	4.40	6.05	6.73	6.18	6.33
lento	3.95	3.00	4.70	4.91	5.36	5.95
leopardo	5.40	6.68	6.85	6.85	5.05	5.95
letra	5.27	3.05	5.38	6.45	5.75	6.77
liberación	7.29	4.52	3.64	2.68	3.64	5.43
liberar	7.32	4.45	3.10	2.57	4.88	5.65
libertad	8.45	4.10	2.85	2.95	6.00	6.40
libre	7.80	4.76	2.85	3.25	4.60	6.33
librería	6.61	2.64	6.36	6.30	6.50	6.27
libreta	5.35	3.15	6.41	7.00	6.09	6.86
licenciada	8.31	6.55	4.81	3.75	6.27	5.32
liga	5.27	4.80	3.38	5.35	4.73	5.68
ligar	6.91	5.95	3.82	3.64	6.05	6.52
lima	5.05	4.27	5.32	6.45	4.55	5.48
limón	5.27	4.45	6.82	6.95	5.70	6.45
lince	5.81	4.50	6.52	5.75	3.65	4.76
linterna	5.29	3.50	6.80	6.91	5.95	6.09
lío	3.77	6.60	2.10	2.95	3.88	6.40
lira	5.81	3.55	5.59	4.00	2.65	2.67
liso	5.20	3.50	5.15	4.62	5.64	6.27
lista	4.95	4.23	3.95	6.00	5.40	6.43
litro	5.30	4.09	5.00	5.74	4.73	6.75
llama	5.18	5.35	4.15	5.95	5.25	5.86
llamada	6.29	4.24	4.00	5.05	6.39	6.60
llano	4.71	2.71	5.35	5.57	4.50	4.60
llanto	2.59	6.90	6.14	5.50	6.29	5.64
llave	5.50	3.77	5.64	6.95	5.95	6.91
llovizna	5.14	3.20	5.55	6.05	4.96	5.59
lluvia	6.25	2.82	6.14	6.73	6.50	7.00
lobo	5.86	5.45	6.76	6.80	4.65	5.90
loca	4.00	6.30	3.67	4.10	4.77	6.41
local	4.85	4.50	3.82	5.76	4.85	6.29
loco	4.22	6.91	3.30	4.85	5.55	6.35
locura	5.82	7.20	2.45	3.55	5.82	5.83
logro	7.45	6.27	3.50	3.05	4.45	5.40
lotería	7.62	7.00	5.60	5.50	5.70	5.86
lucha	3.24	6.29	4.67	4.95	5.30	5.57
ludópata	2.15	6.70	5.10	4.91	5.45	5.23
lugar	6.20	3.73	2.36	2.59	5.26	6.77
luna	6.45	2.85	5.90	6.91	5.96	6.45
lunar	5.50	4.00	6.00	6.50	4.73	5.67
maceta	5.35	3.18	6.23	6.81	5.25	6.19
machista	1.39	7.32	4.23	4.24	5.50	5.75
maduración	7.08	5.29	3.00	2.85	4.05	5.40
maestra	6.32	4.83	5.14	6.19	6.24	6.73
maestro	5.59	4.10	5.55	5.95	6.55	5.45
mafioso	3.46	5.55	5.09	5.43	4.43	4.67
mágico	7.38	6.15	2.95	3.80	4.55	6.14
maíz	5.60	3.23	6.41	6.59	5.09	5.52
malabarista	6.14	4.43	5.55	5.38	4.71	5.09
maldad	1.30	7.77	3.52	2.50	4.55	5.90
maldición	1.86	6.85	3.52	2.00	4.00	5.25
maldito	2.09	7.15	3.23	2.75	3.32	5.10
maleficio	2.05	6.32	3.23	2.36	2.78	3.76
maleta	5.30	5.15	5.43	6.86	6.05	6.70
maletero	4.52	4.25	6.40	6.52	6.09	6.36
malo	2.75	5.90	2.60	3.25	4.85	6.59
maltrato	1.68	7.86	4.70	5.48	6.00	5.00
malvado	3.18	7.00	3.80	3.70	3.85	5.55
manejo	4.77	4.18	2.91	2.57	2.36	4.43
manga	5.55	3.73	5.41	6.18	5.10	6.36
mango	5.15	3.23	5.33	6.09	4.25	5.00
maníaco	2.75	7.10	4.39	3.22	4.05	4.64
manicomio	2.09	7.05	6.45	5.50	5.91	5.19
manta	5.95	2.35	5.48	6.95	5.86	6.65
mantel	5.22	4.00	6.55	6.55	6.05	6.61
manto	5.05	2.90	4.30	5.14	2.30	4.65
manual	5.19	3.62	4.45	5.70	5.60	5.91
manuscrito	5.71	3.86	5.62	5.91	3.65	4.91
manzana	5.95	3.40	6.77	6.95	6.40	6.81
maquillaje	5.75	4.74	4.73	6.14	5.71	5.70
máquina	4.80	4.35	3.05	6.26	5.32	6.05
maquinilla	4.59	4.90	5.15	5.62	5.73	5.87
maravilla	7.68	5.65	2.67	2.60	4.40	5.68
marca	5.33	4.10	3.10	4.40	5.40	6.32
marco	4.90	3.36	4.05	6.27	5.10	5.91
margen	4.71	4.10	4.81	5.73	4.05	5.81
marginación	1.38	6.14	3.62	3.40	5.15	4.76
marido	6.04	5.40	5.86	3.90	5.36	6.17
marqués	4.82	3.86	5.23	4.77	2.91	3.57
martillo	4.90	5.50	6.55	6.95	6.27	5.85
martirio	2.19	6.15	2.45	2.00	2.36	3.82
masacre	1.55	7.59	4.50	4.70	5.30	4.67
masaje	8.25	2.57	5.55	6.48	6.30	6.19
masajista	6.89	3.48	5.68	5.38	4.90	4.80
máscara	4.93	5.00	4.09	6.33	4.62	5.85
masturbación	4.78	5.82	5.50	5.50	6.09	5.85
mate	4.91	4.25	4.86	4.30	3.35	4.00
matemático	5.86	3.85	5.70	4.55	5.00	5.57
materia	5.05	4.35	2.55	2.95	2.55	5.48
maternidad	7.96	6.43	5.67	5.52	6.05	4.75
matrimonio	6.61	4.86	5.36	5.05	6.36	6.50
mecánica	4.75	4.60	3.86	3.32	4.73	4.70
mecanismo	4.45	4.30	2.50	3.77	3.04	4.95
mechero	5.30	4.65	6.95	6.95	6.41	6.57
mechón	4.58	4.20	5.71	6.45	5.23	5.70
medalla	7.14	5.65	5.36	6.90	4.57	5.36
media	5.38	3.64	3.95	4.05	4.09	5.75
medusa	3.73	5.73	6.38	6.90	6.43	4.19
melena	6.19	4.00	5.05	6.65	6.14	6.50
mensaje	5.96	5.29	5.14	4.00	6.15	6.52
mensajero	5.39	3.91	5.68	5.50	5.27	5.15
menstruación	2.55	6.36	6.55	6.00	6.26	6.19
mente	5.22	4.80	3.43	3.25	4.14	6.38
mentiroso	1.91	6.57	4.68	2.38	4.83	6.43
mentón	5.09	4.14	6.50	5.86	4.00	4.40
mercado	5.00	5.14	4.14	6.24	5.55	5.90
merienda	6.95	4.10	5.45	5.82	6.18	6.82
mérito	7.46	6.24	3.15	2.50	4.60	6.05
mero	4.95	3.90	4.35	3.60	3.25	2.60
mesa	5.18	3.60	6.35	7.00	6.55	6.91
método	5.00	3.86	2.25	1.50	4.00	5.90
metro	4.67	3.85	4.50	6.65	6.05	5.50
mezquita	4.17	4.60	6.38	6.09	4.73	3.85
micrófono	5.36	5.70	6.55	6.91	5.50	5.80
microscopio	5.00	3.50	6.95	6.83	5.26	5.25
miedo	2.70	6.91	4.14	2.75	5.04	6.00
miedoso	3.10	6.71	4.67	2.80	4.87	5.52
miel	5.76	3.24	6.65	6.68	5.45	6.33
miembro	5.10	4.59	3.68	3.64	4.55	5.33
militar	3.71	5.78	4.55	6.38	5.14	5.35
millonaria	6.93	6.04	4.45	3.95	4.62	4.95
mimo	6.71	3.00	5.52	5.76	4.90	5.10
mina	3.55	5.86	5.29	6.09	4.45	4.82
minifalda	5.75	4.75	6.00	6.48	5.09	5.82
ministra	3.92	5.60	5.43	4.40	4.45	5.48
misil	2.70	7.10	6.23	5.85	4.09	4.48
misterio	5.32	6.60	3.14	1.95	3.91	5.33
mochila	5.35	3.95	6.45	6.86	6.64	6.82
moco	3.77	4.80	6.05	6.60	6.00	6.52
modista	6.04	3.91	5.82	5.33	4.76	3.95
modular	4.85	3.95	2.45	2.00	1.95	3.24
molde	5.25	3.68	3.85	6.24	6.05	5.14
molino	5.00	3.38	6.05	6.68	4.91	5.24
mona	5.90	4.15	5.33	6.50	5.55	5.50
monarquía	3.36	5.05	5.73	3.68	3.95	5.40
monasterio	4.20	3.10	5.62	6.26	4.67	4.05
monitor	5.36	3.95	5.23	6.10	6.20	6.09
monje	4.50	4.14	6.30	5.91	5.14	5.41
montaje	4.96	5.52	3.15	3.45	4.10	4.60
montón	5.18	4.00	2.50	4.00	4.23	6.05
monumento	5.86	4.10	4.45	5.95	5.18	5.70
moño	5.80	3.95	5.33	6.64	5.41	6.05
mora	5.30	4.05	5.43	6.68	5.05	5.86
mordisco	4.45	6.95	5.75	5.90	5.82	6.18
morena	5.85	4.25	4.60	5.57	6.05	6.43
moribundo	1.64	5.60	5.32	5.50	5.17	4.81
motivo	5.48	4.86	2.25	1.61	2.73	6.55
moto	5.31	6.15	6.29	6.85	6.09	6.65
motosierra	3.86	6.55	6.85	6.55	5.25	5.38
móvil	6.62	5.64	6.23	6.57	6.80	7.00
movimiento	5.32	5.50	3.85	4.62	4.75	6.70
muelle	5.45	3.10	5.10	6.09	4.70	5.45
muestra	5.33	4.10	2.32	3.57	4.09	5.50
municipio	4.86	3.65	5.24	4.27	4.73	5.14
muñeca	5.57	3.59	5.52	6.68	5.70	6.33
muñeco	5.48	3.90	4.67	6.75	6.05	5.67
músculo	5.60	4.77	5.48	5.64	5.68	6.59
musculoso	5.86	4.95	5.50	6.38	6.05	5.35
mutilación	1.32	7.60	4.25	3.65	3.61	4.45
mutilado	1.41	7.50	5.23	5.48	3.59	4.23
nacimiento	8.65	5.91	4.15	5.85	6.39	6.35
nación	5.32	5.35	4.05	4.45	4.50	5.10
nadadora	6.25	3.80	6.14	6.48	5.95	5.62
nariz	4.90	3.23	6.45	6.90	6.14	6.86
naufragio	2.00	6.40	5.55	5.52	4.21	4.36
náusea	2.13	6.19	4.77	4.71	5.00	5.00
navaja	2.35	7.41	6.45	6.43	4.70	4.68
navajero	2.85	6.90	5.95	3.65	2.73	3.32
navidad	6.20	5.05	4.80	5.70	6.55	6.30
necesitar	5.00	5.95	2.67	2.10	4.92	6.45
negro	4.95	3.86	6.29	6.67	5.05	6.43
nervio	4.42	7.43	4.05	4.29	4.50	5.65
neurótico	3.59	6.55	4.74	2.70	3.64	5.45
niebla	4.59	4.00	5.73	6.41	4.50	6.09
nieta	6.73	3.60	6.48	3.65	5.23	6.04
niña	6.64	4.00	5.23	6.90	6.43	6.77
niño	7.05	5.30	5.85	6.80	6.50	6.71
nitrógeno	5.04	4.45	4.65	2.91	3.50	4.23
noción	5.41	3.40	2.90	1.20	2.65	4.82
novedad	6.95	6.45	2.65	2.32	5.14	5.65
novio	6.55	6.09	6.14	5.23	6.41	6.64
obispo	3.32	3.90	6.65	5.64	4.09	5.32
objeto	4.95	3.62	1.73	4.00	3.86	6.39
obsesión	2.75	6.36	2.36	2.70	4.30	6.00
olvido	2.35	5.30	2.60	2.40	3.45	5.55
ombligo	5.23	3.10	6.55	6.86	5.50	6.36
opio	3.88	4.05	5.29	3.24	2.65	3.38
