#Word	VAL_M	ARO_M	CON_M	IMA_M	AVA_M	FAM_M
asesinato	1.35	8.14	5.52	5.87	4.96	5.76
asesino	1.62	7.43	4.75	5.05	5.18	5.91
asesor	5.71	4.22	4.09	2.81	2.81	4.85
asesora	5.38	4.85	4.67	2.45	3.50	4.91
asfalto	4.60	3.14	6.40	6.27	4.87	5.75
asilo	3.39	4.43	5.55	5.57	4.71	4.50
asistenta	4.73	3.75	4.71	4.30	4.23	4.90
asqueroso	3.00	6.35	4.50	4.60	4.85	5.90
asunto	5.13	4.05	1.67	1.59	3.36	6.09
asustado	2.70	6.10	5.43	5.04	5.39	5.83
ataque	3.04	7.19	3.41	4.05	4.50	5.82
ataúd	1.91	6.71	6.65	6.60	5.60	4.50
atentado	1.68	8.20	4.86	4.59	5.71	5.50
aterrorizado	2.32	7.19	5.26	4.91	5.41	4.87
átomo	4.95	4.09	4.95	2.68	2.55	5.18
atracción	7.18	7.60	2.77	3.73	5.79	6.40
atraco	1.45	7.50	5.65	5.13	5.30	5.35
atraer	7.05	6.75	3.19	3.90	4.64	5.82
atrevido	6.27	6.09	5.17	3.57	5.77	5.82
atrocidad	2.15	6.33	3.83	2.35	2.95	3.59
aumento	6.26	5.18	3.55	3.10	4.77	5.20
ausencia	2.33	4.59	2.95	2.45	4.80	5.32
autobús	4.71	4.91	6.77	6.80	6.27	6.40
autoridad	5.00	6.86	4.32	4.29	5.17	5.35
auxilio	3.05	7.90	3.65	3.36	4.91	4.67
avance	7.15	4.82	2.73	2.50	3.78	5.52
avión	5.14	6.50	6.70	6.85	6.40	6.50
avispa	3.05	6.60	6.57	7.00	5.82	5.59
ayuda	6.58	5.86	3.20	3.10	4.90	6.60
ayudar	7.68	4.90	2.95	3.20	5.71	6.55
ayuntamiento	4.83	3.18	6.05	6.05	6.18	5.57
azafata	5.75	5.40	4.71	6.74	5.77	5.27
azar	5.15	4.55	2.50	2.19	4.45	5.90
azulejo	5.10	3.76	5.52	5.91	2.91	4.95
bacteria	3.00	5.19	5.05	4.09	3.90	4.95
bailarín	6.55	5.45	6.45	6.29	5.23	5.62
bailarina	6.61	4.26	5.36	6.48	5.95	6.00
balanza	5.25	3.86	6.05	6.82	5.95	5.10
balcón	5.57	3.50	6.25	6.81	6.05	6.55
balneario	7.33	3.67	6.27	6.55	6.55	5.41
baloncesto	6.09	4.85	6.20	6.65	5.73	5.25
banco	4.64	5.00	5.05	6.73	6.25	6.67
banda	5.45	4.65	3.90	5.25	4.70	5.59
bandeja	4.81	3.85	5.67	6.75	5.00	6.65
banquete	7.29	4.90	5.10	6.10	5.95	5.40
bañador	6.18	3.52	5.55	7.00	5.90	6.24
